Vaccine,Geographic Level,Geographic Name,Demographic Level,Demographic Name,indicator_label,indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_90pct,CI_Half_width_95pct,Unweighted Sample Size,suppression_flag
COVID,Substate,Texas-Rest of State,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 1,09/30/2023 12:00:00 AM,3.5967,0.899,1.0712,10693,0
COVID,Substate,Texas-Rest of State,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,09/30/2023 12:00:00 AM,25.623,5.7105,6.804,340,0
COVID,Substate,Texas-Rest of State,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 1,09/30/2023 12:00:00 AM,28.9739,5.4955,6.5478,340,0
COVID,Substate,Texas-Rest of State,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,09/30/2023 12:00:00 AM,41.8064,6.2871,7.4911,340,0
COVID,National,National,Health Insurance Among 18-64 Years,Insured,Up-to-date,Yes,October Week 1,09/30/2023 12:00:00 AM,2.1131,0.3928,0.468,267525,0
COVID,National,National,Health Insurance Among 18-64 Years,Insured,4-level vaccination and intent,Received a vaccination,October Week 1,09/30/2023 12:00:00 AM,2.1131,0.3928,0.468,267525,0
COVID,National,National,Health Insurance Among 18-64 Years,Insured,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,09/30/2023 12:00:00 AM,25.0327,1.4822,1.766,11945,0
COVID,National,National,Health Insurance Among 18-64 Years,Insured,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 1,09/30/2023 12:00:00 AM,32.1456,1.692,2.016,11945,0
COVID,National,National,Health Insurance Among 18-64 Years,Insured,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,09/30/2023 12:00:00 AM,40.7086,1.7757,2.1158,11945,0
COVID,National,National,Health Insurance Among 18-64 Years,Uninsured,Up-to-date,Yes,October Week 1,09/30/2023 12:00:00 AM,0.9588,0.2161,0.2575,31788,0
COVID,National,National,Health Insurance Among 18-64 Years,Uninsured,4-level vaccination and intent,Received a vaccination,October Week 1,09/30/2023 12:00:00 AM,0.9588,0.2161,0.2575,31788,0
COVID,National,National,Health Insurance Among 18-64 Years,Uninsured,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,09/30/2023 12:00:00 AM,16.3589,3.3826,4.0303,1528,0
COVID,National,National,Health Insurance Among 18-64 Years,Uninsured,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 1,09/30/2023 12:00:00 AM,42.4583,4.2537,5.0682,1528,0
COVID,National,National,Health Insurance Among 18-64 Years,Uninsured,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,09/30/2023 12:00:00 AM,40.224,4.139,4.9315,1528,0
COVID,Substate,Illinois-City of Chicago,Overall,18+ years,Up-to-date,Yes,October Week 2,10/07/2023 12:00:00 AM,6.7455,2.0621,2.457,5675,0
COVID,Substate,Illinois-City of Chicago,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 2,10/07/2023 12:00:00 AM,6.7455,2.0621,2.457,5675,0
COVID,Substate,Illinois-City of Chicago,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,10/07/2023 12:00:00 AM,20.1977,8.9542,10.6689,61,0
COVID,Substate,Illinois-City of Chicago,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 2,10/07/2023 12:00:00 AM,60.6362,14.0111,16.694,61,0
COVID,Substate,Illinois-City of Chicago,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,10/07/2023 12:00:00 AM,12.4207,6.3409,7.5551,61,0
COVID,Substate,Illinois-Rest of State,Overall,18+ years,Up-to-date,Yes,October Week 2,10/07/2023 12:00:00 AM,5.6063,0.9034,1.0764,11818,0
COVID,Substate,Illinois-Rest of State,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 2,10/07/2023 12:00:00 AM,5.6063,0.9034,1.0764,11818,0
COVID,Substate,Illinois-Rest of State,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,10/07/2023 12:00:00 AM,29.7771,3.2206,3.8373,735,0
COVID,Substate,Illinois-Rest of State,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 2,10/07/2023 12:00:00 AM,30.148,3.1726,3.7802,735,0
COVID,Substate,Illinois-Rest of State,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,10/07/2023 12:00:00 AM,34.4686,3.4497,4.1103,735,0
COVID,Substate,New York-New York City,Overall,18+ years,Up-to-date,Yes,October Week 2,10/07/2023 12:00:00 AM,4.1923,1.5931,1.8982,5265,0
COVID,Substate,New York-New York City,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 2,10/07/2023 12:00:00 AM,4.1923,1.5931,1.8982,5265,0
COVID,Substate,New York-New York City,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,10/07/2023 12:00:00 AM,18.669,8.89,10.5924,103,0
COVID,Substate,New York-New York City,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 2,10/07/2023 12:00:00 AM,47.8779,10.4413,12.4407,103,0
COVID,Substate,New York-New York City,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,10/07/2023 12:00:00 AM,29.2609,9.0166,10.7432,103,0
COVID,Substate,New York-Rest of State,Overall,18+ years,Up-to-date,Yes,October Week 2,10/07/2023 12:00:00 AM,5.2844,1.3178,1.5701,8382,0
