Vaccine,Geographic Level,Geographic Name,Demographic Level,Demographic Name,indicator_label,indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_90pct,CI_Half_width_95pct,Unweighted Sample Size,suppression_flag
COVID,State,Michigan,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,37.6154,15.0724,17.9586,49,0
COVID,State,Michigan,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,8.5304,1.7042,2.0305,1462,0
COVID,State,Michigan,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,8.5304,1.7042,2.0305,1462,0
COVID,State,Minnesota,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,39.5061,13.6831,16.3033,79,0
COVID,State,Minnesota,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,13.2376,7.4055,8.8236,79,0
COVID,State,Minnesota,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,30.6121,13.3667,15.9263,79,0
COVID,State,Minnesota,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,16.6442,2.2618,2.6949,1740,0
COVID,State,Minnesota,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,16.6442,2.2618,2.6949,1740,0
COVID,State,Mississippi,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,59.539,25.9045,30.8649,36,0
COVID,State,Mississippi,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,0.1902,0.3317,0.3952,36,0
COVID,State,Mississippi,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,34.7152,25.8701,30.8239,36,0
COVID,State,Mississippi,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,5.5556,1.6597,1.9776,1385,0
COVID,State,Mississippi,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,5.5556,1.6597,1.9776,1385,0
COVID,State,Missouri,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,,,,11,1
COVID,State,Missouri,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,,,,11,1
COVID,State,Missouri,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,,,,11,1
COVID,State,Missouri,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,,,,1406,1
COVID,State,Missouri,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,8.9487,1.7468,2.0813,1406,0
COVID,State,Montana,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,,,,24,1
COVID,State,Montana,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,,,,24,1
COVID,State,Montana,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,,,,24,1
COVID,State,Montana,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,,,,1575,1
COVID,State,Montana,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,7.9171,1.5581,1.8565,1575,0
COVID,State,Nebraska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,,,,25,1
COVID,State,Nebraska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,,,,25,1
COVID,State,Nebraska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,,,,25,1
COVID,State,Nebraska,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,,,,1109,1
COVID,State,Nebraska,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,10.4441,2.1588,2.5722,1109,0
COVID,State,Nevada,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,66.8802,13.5674,16.1654,72,0
COVID,State,Nevada,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,5.2947,6.2267,7.4191,72,0
COVID,State,Nevada,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,20.5285,11.5106,13.7148,72,0
COVID,State,Nevada,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,7.2966,1.853,2.2079,1882,0
COVID,State,Nevada,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,7.2966,1.853,2.2079,1882,0
COVID,State,New Hampshire,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,31.1525,20.0606,23.902,66,0
COVID,State,New Hampshire,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,11.1732,7.6074,9.0642,66,0
COVID,State,New Hampshire,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,42.6097,17.6868,21.0736,66,0
COVID,State,New Hampshire,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,15.0646,2.2185,2.6433,1713,0
COVID,State,New Hampshire,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,15.0646,2.2185,2.6433,1713,0
COVID,State,New Jersey,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,31.3769,16.9545,20.2011,46,0
COVID,State,New Jersey,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,19.817,15.7909,18.8147,46,0
COVID,State,New Jersey,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,39.267,17.4314,20.7693,46,0
COVID,State,New Jersey,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,9.5391,1.6497,1.9656,2410,0
COVID,State,New Jersey,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,9.5391,1.6497,1.9656,2410,0
